Name,Year,Age,From Team,WAR3,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,Pos
Lou Collier,2004,31,PHI,-0.3,315,813,713,89,172,33,7,8,78,12,6,75,160,0.241,0.317,0.341,0.658,SS-OF
Larry Sutton,2004,35,FLA,-0.3,252,647,572,63,135,23,2,12,78,4,3,55,102,0.236,0.302,0.346,0.648,OF-1B
Luis Lopez,2004,31,ATL,-0.4,52,155,145,10,33,4,0,3,10,0,0,8,25,0.228,0.273,0.317,0.59,
Brent Mayne,2004,37,LAD,-0.4,1279,4084,3614,359,951,178,8,38,403,18,27,370,580,0.263,0.332,0.348,0.68,C
Dave Maurer,2004,30,TOR,-0.6,17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Chad Hermansen,2004,27,TOR,-0.9,189,541,492,49,96,23,2,13,34,9,8,38,168,0.195,0.255,0.329,0.584,OF
Brook Fordyce,2004,35,TBD,-1.2,623,1973,1807,172,467,103,4,41,188,8,6,119,295,0.258,0.309,0.388,0.697,C
Adrian Hernandez,2004,30,MIL,-1.2,6,5,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
Mike Mordecai,2004,37,FLA,-1.6,791,1510,1360,157,333,75,7,24,132,13,13,112,260,0.245,0.303,0.363,0.666,3B-2B-SS
Tomas de la Rosa,2004,27,PIT,,33,78,67,7,19,3,1,2,9,2,1,7,11,0.284,0.36,0.448,0.808,SS
Adam Pettyjohn,2004,28,OAK,,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
Larry Walker,2005,39,STL,9.5,1988,8030,6907,1355,2160,471,62,383,1311,230,76,913,1231,0.313,0.4,0.565,0.965,OF-1B
Tino Martinez,2005,38,NYY,4.7,2023,8044,7111,1009,1925,365,21,339,1271,27,20,780,1069,0.271,0.344,0.471,0.815,1B-DH
Rafael Palmeiro,2005,41,BAL,4.6,2831,12046,10472,1663,3020,585,38,569,1835,97,40,1353,1348,0.288,0.371,0.515,0.885,1B-DH-OF
John Olerud,2005,37,BOS,4.3,2234,9063,7592,1139,2239,500,13,255,1230,11,14,1275,1016,0.295,0.398,0.465,0.863,1B-DH
Sammy Sosa,2005,37,BAL,3,2240,9442,8401,1422,2304,355,44,588,1575,234,107,895,2194,0.274,0.345,0.537,0.882,OF-DH
Bobby Higginson,2005,35,DET,2.2,1362,5664,4910,736,1336,270,33,187,709,91,53,649,796,0.272,0.358,0.455,0.813,OF-DH
B.J. Surhoff,2005,41,BAL,2,2313,9106,8258,1062,2326,440,42,188,1153,141,84,640,839,0.282,0.332,0.413,0.745,OF-C-3B-1B-DH
Rey Sanchez,2005,38,NYY,1.2,1490,5246,4850,549,1317,193,32,15,389,55,32,229,508,0.272,0.308,0.334,0.642,SS-2B
Rick Short,2005,33,WSN,0.3,11,17,15,4,6,2,0,2,4,0,0,1,1,0.4,0.471,0.933,1.404,
Chris Magruder,2005,29,MIL,0.2,270,595,540,67,119,32,3,11,56,5,2,34,120,0.22,0.277,0.352,0.629,OF
Carlos Baerga,2005,37,WSN,0.1,1630,5895,5439,731,1583,279,17,134,774,59,24,291,580,0.291,0.332,0.423,0.754,2B-3B-1B-SS-DH
Chin-Feng Chen,2005,28,LAD,0,19,25,22,3,2,0,0,0,2,0,0,3,10,0.091,0.2,0.091,0.291,
Julio Mosquera,2005,34,MIL,0,12,32,31,2,7,3,0,0,2,0,1,0,5,0.226,0.25,0.323,0.573,
Brian Myrow,2005,29,LAD,0,19,25,20,2,4,1,0,0,0,0,0,5,8,0.2,0.36,0.25,0.61,
Tony Torcato,2005,26,SFG,0,43,53,47,2,14,2,0,0,3,0,0,2,8,0.298,0.346,0.34,0.687,
Dan Wilson,2005,37,SEA,0,1299,4616,4186,441,1097,211,13,88,519,23,14,280,763,0.262,0.309,0.382,0.691,C
Ben Grieve,2005,30,CHC,-0.1,976,3743,3215,471,864,192,5,118,492,24,5,466,784,0.269,0.367,0.442,0.809,OF-DH
Dave Hansen,2005,37,SEA,-0.1,1230,2101,1793,187,466,79,6,35,222,5,7,283,332,0.26,0.36,0.369,0.729,3B-1B
Chris Prieto,2005,33,LAA,-0.2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Sanders,2005,26,CHW,-0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jimmy Journell,2005,28,STL,-0.4,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Denny Hocking,2005,36,KCR,-0.5,954,2632,2358,294,591,112,17,25,226,36,27,205,442,0.251,0.31,0.344,0.654,2B-SS-OF-3B-1B
Gerald Williams,2005,39,NYM,-0.5,1168,3323,3059,474,780,183,18,85,365,106,57,180,530,0.255,0.301,0.41,0.711,OF
Jesse Garcia,2005,32,SDP,-0.8,171,287,273,41,59,5,2,5,23,7,6,8,48,0.216,0.241,0.304,0.545,SS-2B
J.J. Davis,2005,27,COL,-1.2,67,117,106,6,19,1,0,1,9,3,2,9,34,0.179,0.248,0.217,0.465,OF
Mike Mordecai,2005,38,FLA,-1.3,793,1512,1362,157,333,75,7,24,132,13,13,112,261,0.244,0.303,0.363,0.665,3B-2B-SS
Luis Lopez,2005,35,CIN,-1.6,721,1783,1620,171,390,85,7,22,151,10,12,100,343,0.241,0.293,0.343,0.636,SS-2B-3B
Jeff Liefer,2005,31,CLE,-1.9,288,844,779,89,179,36,1,31,113,2,2,56,223,0.23,0.281,0.398,0.679,OF-1B-DH
Robinson Cancel,2005,30,STL,,15,48,44,5,8,2,0,0,5,0,0,2,12,0.182,0.234,0.227,0.461,C
David Bell,2006,34,MIL,6.6,1403,5380,4826,587,1239,267,18,123,589,19,20,428,687,0.257,0.32,0.396,0.716,3B-2B
Joe Randa,2006,37,PIT,3.9,1522,6007,5428,697,1543,327,36,123,739,42,26,432,738,0.284,0.339,0.426,0.765,3B-2B-DH
Vinny Castilla,2006,39,COL,2.9,1854,7384,6822,902,1884,349,28,320,1105,33,43,423,1069,0.276,0.321,0.476,0.797,3B-SS
Aaron Guiel,2006,34,NYY,1.3,307,1099,970,151,239,58,0,35,128,8,12,83,218,0.246,0.322,0.414,0.736,OF
Gabe Kapler,2006,31,BOS,1.2,850,2692,2425,362,655,140,13,64,302,68,26,216,378,0.27,0.331,0.418,0.748,OF
Jeromy Burnitz,2006,38,PIT,0.9,1694,6580,5710,917,1447,298,29,315,981,74,58,739,1376,0.253,0.345,0.481,0.826,OF
Terrence Long,2006,31,NYY,0.6,890,3325,3068,428,824,166,21,69,376,27,15,227,460,0.269,0.318,0.404,0.722,OF
Damon Hollins,2006,33,TBD,0.4,256,762,712,85,172,39,1,28,86,11,5,42,134,0.242,0.284,0.417,0.701,OF
Todd Hollandsworth,2006,34,CIN,0,1118,3492,3191,451,871,192,22,98,401,75,43,262,701,0.273,0.328,0.439,0.767,OF
Adam Hyzdu,2006,35,TEX,0,221,407,358,54,82,18,0,19,61,1,1,41,98,0.229,0.31,0.439,0.749,OF
Jason Childers,2006,32,TBD,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Chris Mabeus,2006,28,MIL,-0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jose Diaz,2006,27,KCR,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Quinton McCracken,2006,36,MIN,-0.3,999,2779,2462,359,675,118,32,21,244,89,44,229,445,0.274,0.336,0.374,0.709,OF
Todd Pratt,2006,40,ATL,-0.3,662,1869,1612,194,404,84,3,49,224,6,2,208,454,0.251,0.344,0.398,0.741,C
Henry Mateo,2006,30,WSN,-0.4,190,280,257,39,60,8,2,1,10,15,4,17,57,0.233,0.289,0.292,0.581,2B
Seth Etherton,2006,30,KCR,-0.5,8,13,9,1,1,0,0,0,0,0,0,1,2,0.111,0.2,0.111,0.311,
Michael Tucker,2006,36,NYM,-0.5,1417,4686,4083,625,1047,208,49,125,528,114,56,490,960,0.256,0.339,0.423,0.763,OF-DH
Chris Widger,2006,36,BAL,-0.7,613,1998,1826,180,435,104,7,55,222,10,9,141,384,0.238,0.296,0.393,0.689,C
Eric Young,2006,40,TEX,-0.8,1730,6996,6119,996,1731,327,46,79,543,465,168,660,462,0.283,0.359,0.39,0.749,2B-OF
Bernie Williams,2006,38,NYY,-1,2076,9053,7869,1366,2336,449,55,287,1257,147,87,1069,1212,0.297,0.381,0.477,0.858,OF-DH
Edgardo Alfonzo,2006,33,NYM,-1.1,1506,6108,5385,777,1532,282,18,146,744,53,17,596,617,0.284,0.357,0.425,0.782,3B-2B-SS
Brian Jordan,2006,40,ATL,-1.2,1456,5646,5160,755,1454,267,37,184,821,119,48,353,842,0.282,0.333,0.455,0.788,OF
Randall Simon,2006,32,PHI,-2,537,1717,1609,172,455,71,3,49,237,2,4,82,148,0.283,0.32,0.422,0.742,1B-DH
Cory Aldridge,2006,28,CHW,,8,5,5,1,0,0,0,0,0,0,0,0,4,0,0,0,0,
Brandon Knight,2006,31,PIT,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Barry Bonds,2007,43,SFG,8,2986,12606,9847,2227,2935,601,77,762,1996,514,141,2558,1539,0.298,0.444,0.607,1.051,OF-DH
Kenny Lofton,2007,41,CLE,6.9,2103,9235,8120,1528,2428,383,116,130,781,622,160,945,1016,0.299,0.372,0.423,0.794,OF
Tony Graffanino,2007,36,MIL,5.7,974,3137,2787,441,743,144,21,58,302,53,25,274,481,0.267,0.336,0.396,0.732,2B-3B-SS-1B
Jeff Cirillo,2007,38,ARI,3.8,1617,6136,5396,800,1598,343,21,112,727,63,37,563,694,0.296,0.366,0.43,0.796,3B-1B-2B-DH
Mike Piazza,2007,39,OAK,3.2,1912,7745,6911,1048,2127,344,8,427,1335,17,20,759,1113,0.308,0.377,0.545,0.922,C-DH-1B
Lew Ford,2007,31,MIN,2.7,494,1716,1514,228,412,80,10,32,172,47,10,147,236,0.272,0.349,0.402,0.75,OF-DH
Reggie Sanders,2007,40,KCR,2.7,1777,7043,6241,1037,1666,341,60,305,983,304,115,674,1614,0.267,0.343,0.487,0.83,OF
Neifi Perez,2007,35,DET,2.6,1403,5510,5127,640,1370,238,61,64,489,57,45,231,503,0.267,0.297,0.375,0.672,SS-2B
Ryan Klesko,2007,37,SFG,2.3,1736,6523,5611,874,1564,343,33,278,987,91,41,817,1077,0.279,0.37,0.5,0.87,OF-1B
Damian Miller,2007,38,MIL,1.5,989,3558,3182,361,834,205,4,87,406,5,5,303,772,0.262,0.329,0.411,0.74,C
Mark Bellhorn,2007,33,CIN,1.2,731,2491,2107,324,484,113,13,69,246,30,13,346,723,0.23,0.341,0.394,0.735,2B-3B-1B-SS
Mike Lieberthal,2007,36,LAD,0.7,1212,4695,4218,534,1155,257,10,150,610,8,7,335,571,0.274,0.337,0.446,0.783,C
Shea Hillenbrand,2007,32,LAD,0.6,943,3816,3570,463,1014,202,15,108,490,16,12,140,464,0.284,0.321,0.44,0.76,3B-1B-DH
Shawn Green,2007,35,NYM,0.5,1951,7963,7082,1129,2003,445,35,328,1070,162,52,744,1315,0.283,0.355,0.494,0.85,OF-1B-DH
Ricky Ledee,2007,34,NYM,0.5,855,2307,2030,290,494,120,17,63,318,29,15,244,495,0.243,0.325,0.412,0.737,OF
Hiram Bocachica,2007,32,SDP,0.3,272,584,535,69,115,28,1,15,37,16,10,41,139,0.215,0.272,0.355,0.628,OF
Aaron Rakers,2007,31,SDP,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
J.J. Furmaniak,2007,28,OAK,0.2,29,52,43,8,8,2,1,0,2,0,0,7,12,0.186,0.327,0.279,0.606,
Marty McLeary,2007,33,PIT,0.2,12,7,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
Rondell White,2007,36,MIN,0.2,1474,5852,5357,756,1519,296,34,198,768,94,47,360,925,0.284,0.336,0.462,0.799,OF-DH
Mike Schultz,2007,28,ARI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lino Urdaneta,2007,28,NYM,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Yoel Hernandez,2007,28,PHI,-0.1,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kevin Barry,2007,29,ATL,-0.2,19,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Julio Franco,2007,49,ATL,-0.2,2527,9731,8677,1285,2586,407,54,173,1194,281,107,917,1341,0.298,0.365,0.417,0.782,SS-2B-1B-DH
Sandy Alomar,2007,42,NYM,-0.4,1377,4865,4530,520,1236,249,10,112,588,25,24,212,499,0.273,0.309,0.406,0.716,C
Josh Rabe,2007,29,MIN,-0.4,38,82,80,10,20,1,0,3,9,0,1,2,18,0.25,0.268,0.375,0.643,
Royce Clayton,2007,38,BOS,-0.5,2108,8164,7379,935,1904,363,55,110,723,231,100,565,1415,0.258,0.312,0.367,0.679,SS
Orlando Palmeiro,2007,39,HOU,-0.7,1206,2706,2335,306,640,113,14,12,226,37,28,265,230,0.274,0.351,0.35,0.701,OF-DH
Mike Ryan,2007,30,PIT,-0.9,127,285,260,32,69,14,1,7,33,4,4,19,52,0.265,0.313,0.408,0.721,OF-DH
Sammy Sosa,2007,39,TEX,-0.9,2354,9896,8813,1475,2408,379,45,609,1667,234,107,929,2306,0.273,0.344,0.534,0.878,OF-DH
Desi Relaford,2007,34,TEX,-1.1,939,3347,2939,375,714,147,19,40,308,81,28,293,497,0.243,0.319,0.347,0.666,SS-2B-3B-OF
Kelly Stinnett,2007,38,STL,-1.2,734,2290,2033,228,476,91,4,65,230,10,5,196,567,0.234,0.313,0.379,0.692,C
Preston Wilson,2007,33,STL,-1.3,1108,4436,4003,573,1055,221,16,189,668,124,55,350,1085,0.264,0.329,0.468,0.797,OF
Mark Grudzielanek,2008,39,KCR,8.3,1772,7484,6942,936,2010,391,36,90,629,131,52,356,944,0.29,0.332,0.395,0.727,2B-SS-3B
Frank Thomas,2008,41,OAK,5.5,2322,10075,8199,1494,2468,495,12,521,1704,32,23,1667,1397,0.301,0.419,0.555,0.974,DH-1B
Moises Alou,2008,42,NYM,3.7,1942,7913,7037,1109,2134,421,39,332,1287,106,37,737,894,0.303,0.369,0.516,0.885,OF
Ray Durham,2008,37,MIL,3.5,1975,8423,7408,1249,2054,440,79,192,875,273,97,820,1201,0.277,0.352,0.436,0.788,2B-DH
Tadahito Iguchi,2008,34,PHI,3.5,493,2079,1841,267,494,91,11,44,205,48,13,189,387,0.268,0.338,0.401,0.739,2B
Jeff Kent,2008,41,LAD,3,2298,9537,8498,1320,2461,560,47,377,1518,94,60,801,1522,0.29,0.356,0.5,0.855,2B-3B-1B
Jay Payton,2008,36,BAL,2.8,1239,4454,4119,558,1145,189,29,119,521,46,32,254,499,0.278,0.323,0.425,0.747,OF
Paul Lo Duca,2008,37,FLA,1.7,1082,4302,3892,483,1112,222,8,80,481,20,19,266,295,0.286,0.337,0.409,0.746,C-1B-OF
Jim Edmonds,2008,39,CHC,1.6,1925,7708,6612,1207,1881,414,25,382,1176,65,50,974,1669,0.284,0.377,0.528,0.905,OF-1B
Damion Easley,2008,39,NYM,1.2,1706,6211,5484,735,1386,287,27,163,684,114,56,510,935,0.253,0.329,0.404,0.733,2B-SS-3B
Luis Gonzalez,2008,41,FLA,0.6,2591,10531,9157,1412,2591,596,68,354,1439,128,87,1155,1218,0.283,0.367,0.479,0.845,OF
Kevin Mench,2008,31,TOR,0.6,702,2568,2335,309,629,150,14,89,330,12,6,181,329,0.269,0.326,0.46,0.786,OF-DH
T.J. Bohn,2008,29,PHI,0.3,32,21,19,3,4,1,0,1,5,0,0,2,9,0.211,0.286,0.421,0.707,OF
Raul Casanova,2008,36,NYM,0.3,387,1201,1081,98,255,40,5,35,130,2,3,98,200,0.236,0.304,0.379,0.683,C
Jason Wood,2008,39,FLA,0.2,153,218,200,25,49,11,0,5,36,1,1,15,59,0.245,0.296,0.375,0.671,1B
Brady Clark,2008,36,NYM,0.1,785,2322,2015,264,559,97,7,36,210,48,33,208,252,0.277,0.358,0.386,0.744,OF
Sean Casey,2008,34,BOS,-0.2,1405,5644,5066,690,1531,322,12,130,735,18,8,477,577,0.302,0.367,0.447,0.814,1B-DH
Jamie D'Antona,2008,27,ARI,-0.3,18,19,17,2,3,0,0,0,1,0,0,2,4,0.176,0.263,0.176,0.44,
Mark Sweeney,2008,39,LAD,-0.3,1218,2131,1830,220,464,101,9,42,250,16,9,259,425,0.254,0.347,0.387,0.734,OF-1B
Rico Washington,2008,31,STL,-0.3,14,22,19,2,3,2,0,0,3,0,0,3,6,0.158,0.273,0.263,0.536,
Marino Salas,2008,27,PIT,-0.4,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Chris Aguila,2008,30,NYM,-0.5,149,248,230,26,53,13,2,3,16,2,2,16,61,0.23,0.28,0.343,0.624,OF
Francisco Cruceta,2008,27,DET,-0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jason Perry,2008,28,ATL,-0.5,4,17,17,0,2,0,1,0,1,0,0,0,4,0.118,0.118,0.235,0.353,
Tomas Perez,2008,35,HOU,-0.6,789,2074,1896,205,455,96,13,24,180,6,7,131,341,0.24,0.29,0.342,0.633,2B-SS-3B-1B
Gary Bennett,2008,37,LAD,-1,587,1876,1690,141,408,74,3,22,192,6,5,139,270,0.241,0.302,0.328,0.63,C
Abraham Nunez,2008,33,NYM,-2.5,1030,2804,2486,286,601,88,19,18,209,38,16,250,447,0.242,0.313,0.314,0.627,3B-SS-2B
Matt Watson,2008,30,TOR,,34,75,71,4,13,5,0,0,7,0,0,3,9,0.183,0.216,0.254,0.47,OF
Joe Crede,2009,32,MIN,5.1,888,3377,3101,392,787,159,5,140,470,4,12,199,459,0.254,0.304,0.444,0.748,3B
Gary Sheffield,2009,41,NYM,3.1,2576,10947,9217,1636,2689,467,27,509,1676,253,104,1475,1171,0.292,0.393,0.514,0.907,OF-3B-DH-SS
Kenji Johjima,2009,34,SEA,2.8,462,1722,1609,166,431,84,1,48,198,7,5,66,148,0.268,0.31,0.411,0.721,C
Carlos Delgado,2009,38,NYM,2.1,2035,8657,7283,1241,2038,483,18,473,1512,14,8,1109,1745,0.28,0.383,0.546,0.929,1B-DH-OF
Jermaine Dye,2009,36,CHW,1.4,1763,7214,6487,984,1779,363,25,325,1072,46,26,597,1308,0.274,0.338,0.488,0.826,OF-DH
Rocco Baldelli,2009,28,BOS,1.1,509,2040,1886,278,526,98,18,59,257,59,16,101,383,0.279,0.324,0.444,0.767,OF-DH
Tony Graffanino,2009,38,CLE,0.9,981,3161,2810,442,746,145,21,58,302,53,25,275,486,0.265,0.335,0.394,0.729,2B-3B-SS-1B
Mark Loretta,2009,38,LAD,0.9,1726,6558,5812,768,1713,309,22,76,629,47,35,555,605,0.295,0.36,0.395,0.754,2B-SS-3B-1B
