playerID,name,year,team
wilsokr01,Kris Wilson,2006,NYY
delosva01,Valerio De Los Santos,2006,CHW
reamebr01,Britt Reames,2006,PIT
etherse01,Seth Etherton,2006,KCR
fernaja01,Jared Fernandez,2006,MIL
vogelry01,Ryan Vogelsong,2006,PIT
harpetr01,Travis Harper,2006,TBD
jarvike01,Kevin Jarvis,2006,BOS
knighbr01,Brandon Knight,2006,PIT
louxsh01,Shane Loux,2006,KCR
clemero02,Roger Clemens,2007,NYY
garcifr01,Freddy Garcia,2007,PHI
cirilje01,Jeff Cirillo,2007,ARI
otsukak01,Akinori Otsuka,2007,TEX
wellsda01,David Wells,2007,LAD
wickmbo01,Bob Wickman,2007,ARI
seoja01,Jae Weong Seo,2007,TBD
carmofa01,Roberto Hernandez,2007,LAD
chenbr01,Bruce Chen,2007,TEX
lopezro01,Rodrigo Lopez,2007,COL
thomsjo01,John Thomson,2007,KCR
cormirh01,Rheal Cormier,2007,ATL
willije02,Jerome Williams,2007,MIN
rakeraa01,Aaron Rakers,2007,SDP
seleaa01,Aaron Sele,2007,NYM
mcleama01,Marty McLeary,2007,PIT
willito02,Todd Williams,2007,COL
kennejo04,Joe Kennedy,2007,TOR
miltoer01,Eric Milton,2007,CIN
prinzbr01,Bret Prinz,2007,PIT
schulmi01,Mike Schultz,2007,ARI
urdanli01,Lino Urdaneta,2007,NYM
woodmi01,Mike Wood,2007,TEX
harikti01,Tim Harikkala,2007,COL
hernayo01,Yoel Hernandez,2007,PHI
serafda01,Dan Serafini,2007,COL
willida07,David Williams,2007,NYM
barryke01,Kevin Barry,2007,ATL
drisktr01,Travis Driskill,2007,HOU
mesajo01,Jose Mesa,2007,PHI
abreuwi01,Winston Abreu,2007,WSN
alfonan01,Antonio Alfonseca,2007,PHI
ortizra01,Ramon Ortiz,2007,COL
simonja01,Jason Simontacchi,2007,WSN
obermwe01,Wes Obermueller,2007,FLA
ortizru01,Russ Ortiz,2007,SFG
thomabr01,Brad Thomas,2007,SEA
mussimi01,Mike Mussina,2008,NYY
sheetbe01,Ben Sheets,2008,MIL
maddugr01,Greg Maddux,2008,LAD
byrdpa01,Paul Byrd,2008,BOS
gardnle01,Lee Gardner,2008,FLA
jamesch03,Chuck James,2008,ATL
liebejo01,Jon Lieber,2008,CHC
timlimi01,Mike Timlin,2008,BOS
lopezaq01,Aquilino Lopez,2008,DET
germafr01,Franklyn German,2008,CHW
martipe02,Pedro Martinez,2008,NYM
seaneru01,Rudy Seanez,2008,PHI
foulkke01,Keith Foulke,2008,OAK
merckke01,Kent Mercker,2008,CIN
germaju01,Justin Germano,2008,SDP
kingra01,Ray King,2008,HOU
bukviry01,Ryan Bukvich,2008,BAL
jonesto02,Todd Jones,2008,DET
wisema01,Matt Wise,2008,NYM
falkebr01,Brian Falkenborg,2008,SDP
rincori01,Ricardo Rincon,2008,NYM
dohmasc01,Scott Dohmann,2008,TBR
salasma02,Marino Salas,2008,PIT
crucefr01,Francisco Cruceta,2008,DET
elartsc01,Scott Elarton,2008,CLE
hernaru03,Runelvys Hernandez,2008,HOU
redmama01,Mark Redman,2008,COL
muldema01,Mark Mulder,2008,STL
washbja01,Jarrod Washburn,2009,DET
johnsra03,Randy Johnson,2009,SFG
smoltjo01,John Smoltz,2009,STL
weathda01,David Weathers,2009,MIL
sprinru01,Russ Springer,2009,TBR
byrdpa01,Paul Byrd,2009,BOS
bradfch01,Chad Bradford,2009,TBR
eyresc01,Scott Eyre,2009,PHI
brocado01,Doug Brocail,2009,HOU
loopebr01,Braden Looper,2009,MIL
hampsju01,Justin Hampson,2009,OAK
isrinja01,Jason Isringhausen,2009,TBR
loretma01,Mark Loretta,2009,LAD
martipe02,Pedro Martinez,2009,PHI
messera01,Randy Messenger,2009,SEA
wolfebr01,Brian Wolfe,2009,TOR
percitr01,Troy Percival,2009,TBR
waechdo01,Doug Waechter,2009,KCR
hamptmi01,Mike Hampton,2009,HOU
sadlebi01,Billy Sadler,2009,HOU
miltoer01,Eric Milton,2009,LAD
gonzaed01,Edgar Gonzalez,2009,OAK
martica02,Carlos Martinez,2009,FLA
foxch02,Chad Fox,2009,CHC
juliojo01,Jorge Julio,2009,PIT
ruschgl01,Glendon Rusch,2009,COL
starkde01,Denny Stark,2009,SEA
schmija01,Jason Schmidt,2009,LAD
trabebi01,Billy Traber,2009,BOS
willije02,Jerome Williams,2009,OAK
yabutya01,Yasuhiko Yabuta,2009,KCR
ohkato01,Tomo Ohka,2009,CLE
carlybu01,Buddy Carlyle,2009,ATL
bootcch01,Chris Bootcheck,2009,PIT
fossuca01,Casey Fossum,2009,CHC
eatonad01,Adam Eaton,2009,COL
pettian01,Andy Pettitte,2010,NYY
sheetbe01,Ben Sheets,2010,OAK
moyerja01,Jamie Moyer,2010,PHI
sprinru01,Russ Springer,2010,CIN
bannibr01,Brian Bannister,2010,KCR
hoffmtr01,Trevor Hoffman,2010,MIL
nippedu01,Dustin Nippert,2010,TEX
parkch01,Chan Ho Park,2010,PIT
desseel01,Elmer Dessens,2010,NYM
meddebr01,Brandon Medders,2010,SFG
threeer01,Erick Threets,2010,CHW
ramired01,Edwar Ramirez,2010,OAK
