,Name,Year,Age,From Team,WAR3,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
299,Mike Wood,2007,28,TEX,0,16,22,0.421,5.49,115,39,17,0,0,2,344,419,237,210,54,125,14,183,27,1,21,1565
300,Tim Harikkala,2007,36,COL,-0.1,7,8,0.467,5.98,73,2,19,0,0,0,99.1,106,67,66,15,37,6,48,3,1,1,433
301,Yoel Hernandez,2007,28,PHI,-0.1,0,0,,5.28,14,0,7,0,0,0,15.1,20,9,9,2,1,1,13,0,0,0,67
302,Dan Serafini,2007,34,COL,-0.1,15,16,0.484,6.04,104,33,15,1,0,1,263.2,335,191,177,37,118,6,127,8,1,10,1226
303,David Williams,2007,29,NYM,-0.1,22,31,0.415,4.83,82,72,3,1,1,0,408,411,237,219,64,165,15,245,28,3,8,1778
304,Kevin Barry,2007,29,ATL,-0.2,1,1,0.5,6.83,20,1,8,0,0,0,27.2,30,21,21,2,16,0,23,1,0,1,129
305,Travis Driskill,2007,36,HOU,-0.2,11,14,0.44,5.23,57,19,15,0,0,1,196,236,125,114,30,61,3,123,9,0,9,876
306,Jose Mesa,2007,42,PHI,-0.5,80,109,0.423,4.36,1022,95,633,6,2,321,1548.2,1629,811,750,151,651,57,1038,55,5,75,6804
307,Winston Abreu,2007,31,WSN,-0.7,0,1,0,6.81,33,0,5,0,0,0,38.1,47,31,29,8,15,2,32,1,1,2,175
308,Antonio Alfonseca,2007,36,PHI,-0.7,35,37,0.486,4.11,592,0,301,0,0,129,613,677,296,280,55,250,45,400,22,2,13,2710
309,Ramon Ortiz,2007,35,COL,-0.9,84,80,0.512,4.9,258,210,28,10,1,0,1359.2,1468,802,740,217,462,26,841,68,17,42,5944
310,Jason Simontacchi,2007,34,WSN,-0.9,26,17,0.605,5.09,96,53,13,1,0,1,355.2,399,213,201,57,125,8,191,15,0,6,1552
311,Wes Obermueller,2007,31,FLA,-1.2,11,22,0.333,5.82,80,48,9,1,1,0,315.1,379,220,204,42,141,9,166,18,0,14,1454
312,Russ Ortiz,2007,34,SFG,-3,110,82,0.573,4.42,282,253,9,9,3,0,1568.2,1513,839,771,171,807,34,1121,41,2,53,6894
313,Brad Thomas,2007,30,SEA,,0,3,0,9.89,11,5,1,0,0,0,23.2,33,26,26,7,18,1,8,1,0,3,120
314,Mike Mussina,2008,40,NYY,11.1,270,153,0.638,3.68,537,536,0,57,23,0,3562.2,3460,1559,1458,376,785,29,2813,60,1,71,14593
315,Ben Sheets,2008,30,MIL,8.1,86,83,0.509,3.72,221,221,0,18,4,0,1428,1402,650,591,160,313,25,1206,31,1,49,5922
316,Greg Maddux,2008,43,LAD,5.8,355,227,0.61,3.16,744,740,3,109,35,0,5008.1,4726,1981,1756,353,999,177,3371,137,28,70,20421
317,Paul Byrd,2008,38,BOS,3.2,108,93,0.537,4.38,338,250,30,17,6,0,1663,1810,907,809,243,390,23,912,62,7,35,7111
318,Lee Gardner,2008,34,FLA,2.3,4,5,0.444,3.01,86,0,25,0,0,2,101.2,110,47,34,9,32,4,68,6,0,1,451
319,Chuck James,2008,27,ATL,2.2,24,19,0.558,4.48,64,55,0,0,0,0,315.2,305,162,157,62,128,9,234,10,2,5,1364
320,Jon Lieber,2008,39,CHC,1.9,131,124,0.514,4.27,401,327,18,25,5,2,2198,2388,1158,1043,285,422,52,1553,49,13,30,9300
321,Mike Timlin,2008,43,BOS,1.6,75,73,0.507,3.63,1058,4,467,0,0,141,1204.1,1168,533,486,118,377,72,872,47,3,31,5082
322,Aquilino Lopez,2008,34,DET,1.4,6,6,0.5,3.78,159,0,69,0,0,15,207.1,199,94,87,23,82,13,167,11,2,9,903
323,Franklyn German,2008,29,CHW,1.1,9,7,0.563,4.25,155,0,52,0,0,7,158.2,155,82,75,17,119,12,114,11,2,15,740
324,Pedro Martinez,2008,37,NYM,1.1,214,99,0.684,2.91,467,400,23,46,17,3,2782.2,2173,988,901,232,752,30,3117,137,6,62,11203
325,Rudy Seanez,2008,40,PHI,1,41,30,0.577,4.1,544,0,159,0,0,12,566,515,285,258,58,285,28,574,15,1,48,2477
326,Keith Foulke,2008,36,OAK,0.9,41,37,0.526,3.33,619,8,406,0,0,191,786.2,652,300,291,94,194,24,718,44,2,14,3201
327,Kent Mercker,2008,41,CIN,0.6,74,67,0.525,4.16,692,150,157,2,1,25,1325.1,1307,676,612,154,607,47,917,32,15,55,5792
328,Justin Germano,2008,26,SDP,0.3,8,16,0.333,5.27,47,35,7,0,0,0,205,226,131,120,25,70,6,119,10,0,5,900
329,Ray King,2008,35,HOU,0.3,20,23,0.465,3.46,593,0,97,0,0,2,411,376,178,158,34,181,17,278,17,1,16,1747
330,Ryan Bukvich,2008,31,BAL,0.2,3,0,1,6.16,97,0,21,0,0,1,87.2,89,65,60,11,71,4,62,4,0,6,422
331,Todd Jones,2008,41,DET,0.2,58,63,0.479,3.97,982,1,619,0,0,319,1072,1072,518,473,93,443,62,868,38,1,43,4650
332,Matt Wise,2008,33,NYM,0.1,17,22,0.436,4.23,209,18,47,0,0,2,317,298,164,149,40,106,12,244,12,3,4,1349
333,Brian Falkenborg,2008,31,SDP,-0.1,3,5,0.375,5.59,64,0,17,0,0,0,75.2,91,50,47,10,36,3,62,5,0,4,350
334,Ricardo Rincon,2008,39,NYM,-0.3,21,24,0.467,3.59,565,0,128,0,0,21,443.2,384,200,177,41,201,32,400,11,4,14,1895
335,Scott Dohmann,2008,31,TBR,-0.4,9,8,0.529,5.32,164,0,55,0,0,1,172.2,180,105,102,28,96,10,166,4,0,8,774
336,Marino Salas,2008,27,PIT,-0.4,1,0,1,8.47,13,0,4,0,0,0,17,25,16,16,4,14,3,9,2,0,4,88
337,Francisco Cruceta,2008,27,DET,-0.5,0,4,0,7.96,19,3,9,0,0,0,26,33,25,23,5,20,1,22,1,0,5,129
338,Scott Elarton,2008,33,CLE,-1,56,61,0.479,5.29,232,170,19,4,1,3,1065.1,1107,675,626,192,418,13,698,40,1,39,4681
339,Runelvys Hernandez,2008,31,HOU,-1.6,25,36,0.41,5.5,82,82,0,1,1,0,454.2,515,294,278,61,188,1,246,20,3,11,2025
340,Mark Redman,2008,35,COL,-1.8,68,85,0.444,4.85,219,203,4,12,2,0,1238.2,1364,712,668,141,407,19,747,35,10,58,5371
341,Mark Mulder,2008,31,STL,-2,103,60,0.632,4.18,205,203,1,25,10,0,1314,1352,657,611,141,412,15,834,50,1,47,5562
342,Jarrod Washburn,2009,35,DET,6.3,107,109,0.495,4.1,312,300,4,9,4,1,1863.2,1855,900,848,240,569,21,1103,65,3,30,7889
343,Randy Johnson,2009,46,SFG,4.4,303,166,0.646,3.29,618,603,7,100,37,2,4135.1,3346,1703,1513,411,1497,37,4875,190,33,109,17067
344,John Smoltz,2009,43,STL,4.4,213,155,0.579,3.33,723,481,204,53,16,154,3473,3074,1391,1284,288,1010,84,3084,57,16,145,14271
345,David Weathers,2009,40,MIL,3.8,73,88,0.453,4.25,964,69,304,0,0,75,1376.1,1432,711,650,133,604,78,976,57,6,41,6071
346,Russ Springer,2009,41,TBR,3.6,36,45,0.444,4.52,738,27,168,1,0,9,854.2,822,457,429,121,349,33,774,35,0,39,3709
347,Paul Byrd,2009,39,BOS,3.2,109,96,0.532,4.41,345,256,30,17,6,0,1697,1857,929,831,247,401,23,923,62,7,35,7266
348,Chad Bradford,2009,35,TBR,3.1,36,28,0.563,3.26,561,0,115,0,0,11,515.2,527,214,187,28,137,39,313,29,3,4,2180
349,Scott Eyre,2009,38,PHI,1.8,28,30,0.483,4.23,617,32,107,0,0,4,649.1,654,337,305,83,332,27,537,15,0,41,2881
350,Doug Brocail,2009,43,HOU,1.7,52,48,0.52,4,626,42,175,0,0,9,880,885,436,391,85,310,34,642,35,7,33,3793
351,Braden Looper,2009,35,MIL,1.7,72,65,0.526,4.15,670,97,315,1,1,103,1176,1242,594,542,132,373,39,669,40,6,21,5067
352,Justin Hampson,2009,30,OAK,1.5,5,4,0.556,3.38,79,1,20,0,0,0,96,98,38,36,5,31,6,62,4,0,1,405
353,Jason Isringhausen,2009,37,TBR,1,45,50,0.474,3.6,621,52,467,3,1,293,915.1,821,405,366,72,394,38,755,33,2,49,3924
354,Mark Loretta,2009,38,LAD,0.9,0,0,,0,2,0,2,0,0,0,1.1,1,0,0,0,1,0,2,1,0,0,7
355,Pedro Martinez,2009,38,PHI,0.9,219,100,0.687,2.93,476,409,23,46,17,3,2827.1,2221,1006,919,239,760,30,3154,141,6,62,11394
356,Randy Messenger,2009,28,SEA,0.9,4,12,0.25,4.87,173,0,49,0,0,2,184.2,225,104,100,21,80,15,120,3,0,6,844
357,Brian Wolfe,2009,29,TOR,0.7,5,5,0.5,3.81,72,0,24,0,0,0,82.2,79,38,35,12,22,4,47,3,0,2,337
358,Troy Percival,2009,40,TBR,0.6,35,43,0.449,3.17,703,1,546,0,0,358,708.2,479,271,250,85,306,25,781,27,2,32,2915
359,Doug Waechter,2009,29,KCR,0.5,18,27,0.4,5.34,113,54,16,1,1,0,384.1,427,250,228,68,129,10,226,15,3,8,1698
360,Mike Hampton,2009,37,HOU,0.4,148,115,0.563,4.07,409,355,9,21,9,1,2264,2367,1157,1024,200,900,48,1384,49,13,75,9808
361,Billy Sadler,2009,28,HOU,0.4,0,1,0,4.53,39,0,10,0,0,0,49.2,41,26,25,8,30,4,50,9,0,8,224
362,Eric Milton,2009,34,LAD,0.2,89,85,0.511,4.99,271,270,0,10,4,0,1582.1,1665,935,878,267,453,14,1127,35,0,29,6826
363,Edgar Gonzalez,2009,27,OAK,0.1,14,25,0.359,5.88,106,41,20,0,0,0,323,391,219,211,56,113,16,207,21,2,21,1457
364,Carlos Martinez,2009,28,FLA,-0.1,0,1,0,4.11,16,0,5,0,0,0,15.1,16,7,7,4,9,0,15,1,0,0,70
365,Chad Fox,2009,39,CHC,-0.2,10,12,0.455,3.79,219,0,50,0,0,6,228,197,103,96,22,134,12,262,9,2,24,1015
366,Jorge Julio,2009,31,PIT,-0.3,17,34,0.333,4.43,453,0,265,0,0,99,467,437,259,230,65,233,21,448,19,1,52,2065
367,Glendon Rusch,2009,35,COL,-0.3,67,99,0.404,5.04,342,220,31,11,3,4,1477.1,1732,880,827,191,460,27,1088,40,5,19,6513
368,Denny Stark,2009,35,SEA,-0.3,15,14,0.517,5.81,73,42,9,0,0,0,265,303,201,171,53,133,9,127,8,1,6,1223
369,Jason Schmidt,2009,37,LAD,-0.5,130,96,0.575,3.96,323,314,1,20,9,0,1996.1,1846,958,878,184,792,35,1758,52,11,93,8532
370,Billy Traber,2009,30,BOS,-0.5,12,14,0.462,5.65,96,28,8,1,1,0,215,267,140,135,29,75,10,152,17,0,8,987
371,Jerome Williams,2009,28,OAK,-0.6,23,29,0.442,4.25,76,71,1,2,1,0,425.1,407,223,201,46,171,6,258,35,3,8,1837
372,Yasuhiko Yabuta,2009,37,KCR,-0.6,3,4,0.429,7.14,43,0,15,0,0,0,51.2,70,42,41,9,24,0,34,0,0,5,245
373,Tomo Ohka,2009,34,CLE,-0.8,51,68,0.429,4.26,202,178,11,5,1,0,1070,1182,568,506,140,302,27,590,34,2,35,4620
374,Buddy Carlyle,2009,32,ATL,-0.9,11,11,0.5,5.61,104,27,17,0,0,0,245.2,262,164,153,40,94,18,189,6,1,10,1070
375,Chris Bootcheck,2009,31,PIT,-1.1,3,7,0.3,6.54,90,3,32,0,0,1,147.1,178,111,107,19,64,4,105,6,1,10,677
376,Casey Fossum,2009,32,CHC,-1.6,40,53,0.43,5.45,237,120,35,0,0,2,786,873,535,476,114,319,14,607,63,5,28,3537
377,Adam Eaton,2009,32,COL,-2.8,71,68,0.511,4.94,209,201,4,3,0,0,1178.2,1253,688,647,167,448,33,855,52,1,35,5167
378,Andy Pettitte,2010,39,NYY,8.2,240,138,0.635,3.88,489,479,3,25,4,0,3055.1,3185,1461,1317,263,962,41,2251,51,11,62,12987
379,Ben Sheets,2010,32,OAK,4.2,90,92,0.495,3.79,241,241,0,18,4,0,1547.1,1525,715,651,178,356,27,1290,31,1,52,6433
380,Jamie Moyer,2010,48,PHI,3.3,267,204,0.567,4.24,686,628,15,33,10,0,4020.1,4156,2036,1892,511,1137,67,2405,144,12,57,17102
381,Russ Springer,2010,42,CIN,1.9,36,45,0.444,4.52,740,27,168,1,0,9,856.1,824,458,430,121,349,33,775,35,0,39,3716
382,Brian Bannister,2010,30,KCR,1.5,37,50,0.425,5.08,117,114,2,2,0,0,667.1,724,407,377,86,224,8,384,22,3,35,2914
383,Trevor Hoffman,2010,43,MIL,1.5,61,75,0.449,2.87,1035,0,856,0,0,601,1089.1,846,378,347,100,307,58,1133,9,0,49,4388
384,Dustin Nippert,2010,30,TEX,1.3,14,16,0.467,5.31,119,23,24,0,0,0,268,290,163,158,35,136,7,214,11,1,11,1218
385,Chan Ho Park,2010,38,PIT,1.3,124,98,0.559,4.36,476,287,52,10,3,2,1993,1872,1046,965,230,910,35,1715,138,14,75,8714
386,Elmer Dessens,2010,40,NYM,0.9,52,64,0.448,4.44,441,140,64,2,1,5,1174.1,1300,628,579,145,348,45,693,24,4,22,5062
387,Brandon Medders,2010,31,SFG,0.9,16,7,0.696,3.61,210,0,51,0,0,1,234.2,233,108,94,27,104,11,175,9,0,7,1027
388,Erick Threets,2010,29,CHW,0.7,0,1,0,3.28,21,0,8,0,0,0,24.2,25,10,9,1,15,2,13,3,0,2,110
389,Edwar Ramirez,2010,30,OAK,0.6,7,2,0.778,5.19,103,0,26,0,0,2,109.1,102,66,63,20,66,5,126,6,0,9,500
390,Robert Manuel,2010,27,BOS,0.3,1,0,1,3.18,13,0,7,0,0,0,17,15,6,6,5,8,1,7,0,0,0,72
391,Jeff Weaver,2010,34,LAD,0.2,104,119,0.466,4.71,355,274,21,16,7,2,1838,1997,1023,961,227,516,44,1214,124,3,37,7970
392,Evan MacLane,2010,28,STL,0,0,1,0,9,2,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,4
393,Leo Rosales,2010,30,ARI,0,5,2,0.714,5.01,76,0,17,0,0,0,91.2,97,52,51,9,36,5,61,1,0,6,402
394,Saul Rivera,2010,33,CLE,-0.1,13,15,0.464,4.29,249,0,57,0,0,4,279.1,296,145,133,17,126,16,192,11,1,12,1247
395,Scott Strickland,2010,35,FLA,-0.1,12,21,0.364,3.38,239,0,82,0,0,20,242,206,104,91,25,112,17,243,8,0,10,1039
396,Scot Shields,2010,35,LAA,-0.2,46,44,0.511,3.18,491,15,114,0,0,21,697,589,285,246,55,278,21,631,21,0,49,2916
397,Cedrick Bowers,2010,33,OAK,-0.4,0,1,0,7.4,19,0,13,0,0,0,20.2,23,19,17,6,11,1,23,2,0,1,95
398,Brian Moehler,2010,39,HOU,-0.4,84,107,0.44,4.81,332,252,40,11,6,1,1567.1,1834,897,837,199,454,37,859,36,3,25,6844
399,Jeremy Bonderman,2010,28,DET,-0.5,67,77,0.465,4.89,207,193,1,6,2,0,1176,1245,691,639,147,404,23,929,39,5,48,5103
400,Kris Benson,2010,36,ARI,-0.6,70,75,0.483,4.42,206,200,2,8,2,0,1243.2,1292,681,611,152,441,37,806,45,2,33,5380
401,Logan Kensing,2010,28,TBR,-0.7,8,9,0.471,5.81,134,3,31,0,0,2,161,175,104,104,28,88,10,143,10,1,13,743
402,Gary Majewski,2010,31,HOU,-0.8,9,13,0.409,4.75,231,0,65,0,0,2,242.1,296,143,128,19,90,11,143,18,0,8,1105
403,Mike Lincoln,2010,36,CIN,-1,17,30,0.362,5.33,263,19,55,0,0,5,376.1,420,236,223,55,149,11,236,18,0,15,1669
404,Jorge Sosa,2010,33,FLA,-1.5,44,53,0.454,4.72,294,90,55,1,1,7,772.2,791,441,405,112,354,33,491,8,1,26,3404
405,Roy Oswalt,2011,34,PHI,10.1,159,93,0.631,3.21,339,326,5,20,8,0,2154,2071,825,769,183,500,34,1759,76,5,26,8886
406,Javier Vazquez,2011,35,FLA,8.8,165,160,0.508,4.22,450,443,5,28,8,0,2840,2784,1431,1331,373,763,58,2536,88,4,76,11935
407,Jon Garland,2011,32,LAD,3.1,132,119,0.526,4.32,353,330,9,11,6,1,2083.1,2175,1104,1001,254,700,36,1124,61,1,46,8894
408,Arthur Rhodes,2011,42,STL,3.1,87,70,0.554,4.08,900,61,161,5,3,33,1187.2,1033,560,538,126,516,48,1152,16,3,43,5007
409,Rich Harden,2011,30,OAK,2,59,38,0.608,3.76,170,160,2,2,1,0,928.1,781,420,388,105,422,15,949,27,1,34,3929
410,Mike Gonzalez,2011,34,TEX,1.9,17,21,0.447,2.94,387,0,161,0,0,56,358.2,282,135,117,30,164,20,412,14,0,21,1516
411,Kyle Davies,2011,28,TOR,1.1,43,65,0.398,5.59,151,144,2,3,0,0,768,876,512,477,99,367,13,545,22,3,42,3478
412,Brad Penny,2011,34,DET,1,119,99,0.546,4.23,319,315,1,4,2,0,1871,1954,948,879,187,597,36,1250,51,6,50,7965
413,Lance Cormier,2011,31,TBR,0.8,24,28,0.462,5.07,290,24,68,0,0,3,468.2,537,286,264,65,227,25,276,11,4,24,2116
414,Taylor Buchholz,2011,30,NYM,0.5,20,22,0.476,4.28,158,27,38,1,1,1,311,289,165,148,41,85,10,229,8,2,13,1294
415,Mark DiFelice,2011,35,MIL,0.4,5,1,0.833,3.79,77,0,15,0,0,0,73.2,69,32,31,11,21,6,71,1,0,2,311
416,Brad Thomas,2011,34,DET,0.2,6,6,0.5,5.8,72,7,13,0,0,0,104,127,69,67,12,53,4,45,6,0,7,483
417,Mitch Talbot,2011,28,CLE,0,12,19,0.387,5.3,43,41,0,1,0,0,232.2,275,147,137,26,108,4,129,12,1,5,1049
418,Randy Williams,2011,36,BOS,0,3,4,0.429,5.82,97,0,16,0,0,0,82,96,56,53,9,57,13,75,7,0,1,399
419,Enrique Gonzalez,2011,29,DET,-0.1,4,8,0.333,5.81,55,18,25,0,0,0,150.1,160,102,97,20,63,2,84,4,0,2,657
420,Dan Cortes,2011,25,SEA,-0.2,0,3,0,5.06,14,0,5,0,0,0,16,16,10,9,1,9,0,9,1,0,3,73
421,Alan Johnson,2011,28,COL,-0.2,0,0,,9,1,1,0,0,0,0,4,6,5,4,0,3,0,3,0,0,1,20
422,Horacio Ramirez,2011,32,LAA,-0.2,40,35,0.533,4.65,169,105,11,3,1,0,688.1,758,394,356,83,264,26,318,16,5,14,2995
423,Tim Wakefield,2011,45,BOS,-0.2,200,180,0.526,4.41,627,463,78,33,6,22,3226.1,3152,1791,1582,418,1205,33,2156,186,8,134,13939
424,Sergio Mitre,2011,31,NYY,-0.4,13,30,0.302,5.21,143,64,40,1,1,1,454.2,525,290,263,54,151,10,265,30,1,22,2028
425,Rommie Lewis,2011,29,TOR,-0.5,0,0,,7.23,20,0,7,0,0,0,23.2,32,22,19,5,10,0,20,2,0,0,113
426,Mark Worrell,2011,29,BAL,-0.8,0,1,0,15.26,8,0,1,0,0,0,7.2,14,13,13,3,6,2,7,0,0,0,41
427,Scott Proctor,2011,35,NYY,-1.6,18,16,0.529,4.78,307,1,76,0,0,1,343,337,200,182,58,167,21,291,11,3,22,1534
428,Roy Oswalt,2012,35,TEX,7.4,163,96,0.629,3.28,356,335,7,20,8,0,2213,2150,866,807,194,511,34,1818,79,7,29,9150
429,Carlos Zambrano,2012,32,MIA,5.2,132,91,0.592,3.66,354,302,11,10,5,0,1959,1709,879,797,161,898,41,1637,102,5,58,8389
430,Carl Pavano,2012,37,MIN,4.9,108,107,0.502,4.39,302,284,3,17,8,0,1788.2,1971,955,873,200,425,41,1091,84,16,26,7643
431,Randy Wolf,2012,36,BAL,3.2,132,117,0.53,4.2,376,368,2,13,9,0,2268,2231,1128,1058,287,810,38,1767,102,3,40,9703
432,Brian Wilson,2012,31,SFG,3,20,20,0.5,3.21,315,0,238,0,0,171,320,286,122,114,17,142,15,340,9,0,9,1377
433,Kevin Millwood,2012,38,SEA,2.2,169,152,0.526,4.11,451,443,3,22,6,0,2720.1,2770,1357,1243,296,843,46,2083,74,4,67,11616
434,David Pauley,2012,30,SEA,1.8,9,19,0.321,4.68,91,20,28,0,0,0,209.2,234,115,109,24,68,9,122,14,0,4,923
435,Livan Hernandez,2012,38,MIL,1.5,178,177,0.501,4.44,519,474,17,50,9,1,3189,3525,1686,1572,362,1066,86,1976,78,13,41,13816
436,Vicente Padilla,2012,35,BOS,1.2,108,91,0.543,4.32,386,237,37,4,4,6,1571.1,1612,823,754,181,551,45,1121,109,12,37,6808
437,Takashi Saito,2012,43,ARI,0.8,21,15,0.583,2.34,338,0,189,0,0,84,338,250,99,88,25,108,13,400,14,0,9,1363
438,Ben Sheets,2012,34,ATL,0.4,94,96,0.495,3.78,250,250,0,18,4,0,1596.2,1577,736,670,184,369,28,1325,32,1,53,6640
439,Doug Slaten,2012,33,PIT,0.4,7,8,0.467,3.52,216,0,55,0,0,0,150.2,156,72,59,15,67,7,110,9,0,6,674
440,Chris Seddon,2012,29,CLE,0.3,2,3,0.4,5.47,38,6,9,0,0,0,74,85,48,45,8,28,1,44,1,0,3,333
441,Brian Fuentes,2012,37,STL,0.2,26,43,0.377,3.62,650,0,381,0,0,204,613.1,515,267,247,64,258,25,639,52,2,32,2622
442,Jason Isringhausen,2012,40,LAA,0.2,51,55,0.481,3.64,724,52,499,3,1,300,1007.2,901,450,408,85,437,43,830,34,2,53,4322
443,Tim Dillard,2012,29,MIL,0.1,1,4,0.2,4.7,73,0,31,0,0,0,84.1,95,52,44,9,29,5,62,3,0,3,371
444,Dustin Moseley,2012,31,SDP,0.1,15,21,0.417,4.67,101,53,17,0,0,0,358.1,397,202,186,43,117,10,199,9,2,10,1543
445,Jack Egbert,2012,30,NYM,0,0,0,,21.6,3,0,2,0,0,0,3.1,8,8,8,1,2,1,0,0,0,0,20
446,Scott Richmond,2012,33,TOR,0,9,14,0.391,5.27,36,29,4,2,1,0,169,184,104,99,30,61,1,139,2,1,6,739
447,Manny Acosta,2012,32,NYM,-0.2,13,13,0.5,3.99,233,0,78,0,0,9,248,234,122,110,30,117,10,219,8,0,14,1070
448,Miguel Socolovich,2012,26,CHC,-0.2,0,0,,6.06,12,0,2,0,0,0,16.1,15,11,11,3,9,0,12,0,1,0,72
449,Dana Eveland,2012,29,BAL,-0.3,19,25,0.432,5.46,114,61,13,1,0,1,392.2,461,247,238,28,193,13,256,29,1,16,1798
450,Vinnie Chulk,2012,34,MIL,-0.4,8,15,0.348,4.51,259,0,66,0,0,2,285.1,292,151,143,31,112,11,199,9,0,14,1243
451,Kip Wells,2012,36,SDP,-0.4,69,103,0.401,4.71,296,219,24,3,2,2,1338.1,1390,773,700,151,635,53,963,70,3,67,5970
452,Guillermo Mota,2012,39,SFG,-0.6,39,45,0.464,3.94,743,0,212,0,0,10,856.2,762,396,375,90,331,50,696,24,4,32,3604
453,Todd Coffey,2012,32,LAD,-0.7,25,18,0.581,4.1,461,0,108,0,0,11,438.2,483,220,200,49,138,23,329,22,0,18,1910
454,Aneury Rodriguez,2012,25,HOU,-0.9,1,6,0.143,5.12,44,9,16,0,0,0,91.1,85,59,52,15,34,3,70,2,0,3,391
455,Enerio Del Rosario,2012,27,HOU,-1.1,1,4,0.2,5.6,84,0,19,0,0,0,82,110,58,51,4,42,3,46,6,1,2,398
456,Brad Penny,2012,35,SFG,-1.3,119,100,0.543,4.26,341,315,9,4,2,0,1899,1996,970,898,191,606,38,1260,52,6,52,8098
457,Ryota Igarashi,2012,34,NYY,-1.4,5,2,0.714,6.41,83,0,21,0,0,0,73,81,52,52,6,51,3,72,4,0,6,351
458,Roy Halladay,2013,37,PHI,7.9,203,105,0.659,3.38,416,390,6,67,20,1,2749.1,2646,1135,1034,236,592,28,2117,81,9,56,11287
459,Mariano Rivera,2013,44,NYY,5.6,82,60,0.577,2.21,1115,10,952,0,0,652,1283.2,998,340,315,71,286,41,1173,46,3,13,5103
460,Kendrys Morales,2013,31,SEA,4.7,0,0,,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
461,Andy Pettitte,2013,42,NYY,4.4,256,153,0.626,3.85,531,521,3,26,4,0,3316,3448,1572,1418,288,1031,42,2448,55,11,69,14074
462,Darren Oliver,2013,43,TOR,3.7,118,98,0.546,4.51,766,229,121,11,4,7,1915.2,2037,1045,960,216,720,45,1259,96,15,60,8346
463,Joel Hanrahan,2013,32,BOS,3.3,22,18,0.55,3.85,362,11,213,0,0,100,404.2,369,186,173,40,198,10,441,10,1,38,1767
464,Guillermo Moscoso,2013,30,SFG,1.8,13,14,0.481,4.28,70,26,11,0,0,0,222.2,206,119,106,28,86,4,166,8,1,14,956
465,Octavio Dotel,2013,40,DET,1.3,59,50,0.541,3.78,758,34,305,0,0,109,951,765,431,399,117,412,39,1143,41,4,46,4024
466,Jair Jurrjens,2013,28,DET,1.3,53,37,0.589,3.63,128,126,1,2,1,0,758,741,333,306,66,261,20,505,15,4,16,3204
467,Travis Blackley,2013,31,TEX,1,9,9,0.5,5.23,82,26,11,0,0,0,192.2,189,118,112,33,81,5,132,5,5,17,829
468,Michael Bowden,2013,27,CHC,1,3,5,0.375,4.51,103,2,44,0,0,0,133.2,133,67,67,16,54,3,100,4,1,13,576
469,Roy Oswalt,2013,36,COL,0.7,163,102,0.615,3.36,365,341,7,20,8,0,2245.1,2199,897,838,197,520,34,1852,80,7,30,9301
470,Cristhian Martinez,2013,32,ATL,0.6,7,8,0.467,4.02,135,0,50,0,0,1,206,196,95,92,19,52,8,163,3,1,7,855
471,Zach Phillips,2013,27,MIA,0.4,0,1,0,3.45,19,0,5,0,0,0,15.2,16,6,6,3,8,1,14,0,0,0,72
472,Jake Westbrook,2013,36,STL,0.4,105,103,0.505,4.32,315,273,11,15,4,0,1747.2,1885,922,839,148,571,37,965,68,1,41,7517
473,Kevin Gregg,2013,36,CHC,0.3,30,44,0.405,4.07,571,8,378,0,0,177,700.2,649,343,317,73,319,21,641,29,1,50,3052
474,Chris Narveson,2013,32,MIL,0.3,26,18,0.591,4.65,97,63,9,0,0,0,396.2,394,213,205,48,150,5,326,9,2,16,1717
475,Alex Burnett,2013,26,CHC,0.2,8,11,0.421,4.7,177,0,42,0,0,0,172.1,178,96,90,14,72,9,108,13,2,10,759
476,Billy Buckner,2013,30,LAA,0.1,7,11,0.389,6.07,43,23,10,0,0,0,155.2,190,108,105,29,61,1,110,7,0,11,689
477,Sean Henn,2013,33,NYM,0.1,2,10,0.167,7.42,64,5,15,0,0,0,83.2,102,74,69,15,67,3,63,5,0,3,415
478,Hideki Okajima,2013,38,OAK,0.1,17,8,0.68,3.09,266,0,44,0,0,6,250.1,228,87,86,27,88,13,216,4,0,5,1058
479,Cole De Vries,2013,29,MIN,0,5,7,0.417,5.08,21,18,1,0,0,0,102.2,110,66,58,22,27,0,70,4,0,1,451
480,Pedro Feliciano,2013,37,NYM,0,22,21,0.512,3.33,484,0,80,0,0,4,383.2,363,157,142,30,165,28,350,22,3,12,1667
481,Shairon Martis,2013,27,MIN,0,6,7,0.462,5.35,26,19,1,1,0,0,116,107,72,69,19,55,3,64,4,0,4,508
482,Kyle McClellan,2013,30,TEX,0,19,24,0.442,3.79,268,17,54,0,0,6,387.1,359,174,163,45,140,10,260,18,0,20,1652
483,Tim Byrdak,2013,40,NYM,-0.2,13,13,0.5,4.35,479,0,56,0,0,4,339.2,308,182,164,46,203,19,326,10,1,18,1525
484,Jeremy Bonderman,2013,31,DET,-0.4,69,81,0.46,4.91,225,200,5,6,2,0,1231,1303,727,672,154,431,26,961,41,5,51,5349
485,Ramon Ortiz,2013,41,TOR,-0.4,87,86,0.503,4.95,303,218,37,10,1,0,1448.1,1566,861,796,235,500,32,895,69,18,46,6337
