,Name,Year,Age,From Team,WAR3,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
157,Carlton Loewer,2001,28,SDP,-0.1,9,16,0.36,6.06,43,36,2,3,1,0,216.2,267,152,146,29,68,1,107,3,0,7,963
158,Cal Eldred,2001,34,CHW,-0.2,74,68,0.521,4.57,196,191,2,19,4,0,1196.2,1172,644,607,150,510,9,789,43,2,32,5195
159,Frankie Rodriguez,2001,29,CIN,-0.2,29,39,0.426,5.53,184,82,31,3,0,5,654,737,444,402,76,282,17,371,21,1,29,2914
160,Ken Hill,2001,36,BOS,-0.3,117,109,0.518,4.06,332,315,4,19,8,0,1973,1938,977,891,162,852,43,1181,47,13,78,8520
161,Chris Seelbach,2001,29,ATL,-0.3,0,1,0,8.38,7,0,3,0,0,0,9.2,12,9,9,3,5,1,9,0,0,1,45
162,Joe Strong,2001,39,FLA,-0.3,1,1,0.5,5.81,23,0,7,0,0,1,26.1,29,17,17,4,15,1,22,2,0,2,120
163,Rusty Meacham,2001,34,TBD,-0.4,23,17,0.575,4.43,218,9,83,0,0,9,343,381,188,169,39,93,13,198,13,1,11,1490
164,Billy Taylor,2001,40,PIT,-0.4,16,28,0.364,4.21,317,0,194,0,0,100,324.2,314,172,152,27,133,32,307,18,2,2,1414
165,Eric Knott,2001,27,ARI,-0.5,0,1,0,1.93,3,1,0,0,0,0,4.2,8,9,1,0,0,0,4,2,0,0,25
166,Marc Valdes,2001,30,ATL,-0.6,12,15,0.444,4.95,144,22,35,0,0,4,250.2,281,162,138,21,118,9,135,16,2,11,1145
167,Willie Blair,2001,36,DET,-1,60,86,0.411,5.04,418,139,75,3,0,4,1274,1438,778,713,170,415,28,759,36,3,41,5572
168,Brett Hinchliffe,2001,27,NYM,-1,0,5,0,10.22,14,5,2,0,0,0,34.1,51,40,39,12,23,0,16,5,0,2,177
169,Bobby Bonilla,2001,39,STL,-3.6,0,0,,18,1,0,1,0,0,0,1,3,2,2,1,1,0,0,0,1,0,6
170,Cory Bailey,2002,32,KCR,1.9,9,10,0.474,3.96,172,0,51,0,0,1,207,208,99,91,13,116,17,150,3,2,11,908
171,Mac Suzuki,2002,28,KCR,1.4,16,31,0.34,5.72,117,67,11,1,1,0,465.2,501,326,296,67,265,16,327,18,1,44,2126
172,Chris Brock,2002,33,BAL,1.3,18,17,0.514,4.81,148,30,31,0,0,1,335,361,193,179,56,137,8,227,10,4,16,1485
173,Hipolito Pichardo,2002,33,HOU,0.7,50,44,0.532,4.44,350,68,103,3,1,20,769.2,838,425,380,54,287,36,394,35,6,29,3377
174,Doug Brocail,2002,36,HOU,0.6,28,36,0.438,3.87,338,42,96,0,0,5,563,564,271,242,60,190,20,403,21,5,23,2409
175,Dave Maurer,2002,28,CLE,-0.2,1,1,0.5,6,19,0,4,0,0,0,21,26,16,14,4,9,1,17,2,0,2,98
176,Matt Whiteside,2002,35,COL,-0.3,18,15,0.545,5.1,284,1,89,0,0,9,402.1,449,248,228,49,152,21,254,8,6,16,1769
